lake_name,proj_center,x_center,y_center,proj_outlet,x_outlet,y_outlet
benit,EPSG:2154,971010.723145788,6553581.585204411,EPSG:2154,971141.9930490484,6553619.943293027
lauvitel,EPSG:2154,941506.7556058333,6434695.5391985,EPSG:2154,941972.7989844088,6435230.393383504
lauzon,EPSG:2154,958611.6154458204,6421558.577346802,EPSG:2154,958626.1586077892,6421545.408459016
pontet,EPSG:2154,963802.7575152444,6444675.511950575,EPSG:2154,963718.9410281244,6444658.171271109
pourssolet,EPSG:2154,928171.8415124996,6443330.493835065,EPSG:2154,928287.874656588,6443401.679764742
